Game_ID,Genre,Session_Date,Daily_Active_Sessions,Avg_Session_Duration,Levels_Completed,Coins_Earned,Coins_Spent,Ads_Revenue,InApp_Purchase_Revenue,Bug_Reports,Server_Downtime_Min
Game_C,Puzzle,2024-01-01,4805.0,55.0,154.0,4067.0,4744.0,,,44.0,10.0
Game_D,Puzzle,2024-01-02,3413.0,15.0,,1023.0,3843.0,11340.0,10630.0,44.0,19.0
Game_A,Action,2024-01-03,3323.0,16.0,,6134.0,2311.0,14408.0,2032.0,28.0,117.0
Game_C,Action,2024-01-04,3427.0,13.0,159.0,1675.0,671.0,19072.0,8108.0,48.0,55.0
Game_C,Puzzle,2024-01-05,4814.0,,481.0,7668.0,4642.0,19460.0,11720.0,23.0,44.0
Game_D,Action,2024-01-06,2332.0,,82.0,,1125.0,2461.0,12909.0,14.0,67.0
Game_A,Action,2024-01-07,2654.0,15.0,403.0,6988.0,6406.0,10594.0,1940.0,5.0,46.0
Game_A,Puzzle,,4339.0,57.0,280.0,8652.0,8483.0,1072.0,10090.0,31.0,
Game_C,Action,2024-01-09,1944.0,40.0,366.0,9680.0,,7030.0,4146.0,43.0,88.0
Game_B,Racing,2024-01-10,4856.0,14.0,315.0,2485.0,8642.0,8717.0,12089.0,33.0,119.0
Game_C,,2024-01-11,4135.0,25.0,231.0,4659.0,1253.0,14331.0,6099.0,35.0,
Game_C,Racing,2024-01-12,,24.0,389.0,3419.0,7351.0,14936.0,12937.0,,9.0
,Racing,2024-01-13,,52.0,114.0,8740.0,5604.0,19877.0,13494.0,11.0,21.0
Game_C,Puzzle,2024-01-14,1924.0,12.0,,8143.0,7843.0,,11734.0,34.0,70.0
Game_D,Puzzle,2024-01-15,2938.0,40.0,50.0,4495.0,7426.0,9100.0,,,23.0
Game_A,Puzzle,2024-01-16,1493.0,33.0,182.0,1756.0,7327.0,14612.0,10205.0,37.0,65.0
Game_D,,2024-01-17,2546.0,46.0,,9448.0,8859.0,6728.0,8494.0,16.0,
Game_D,Racing,2024-01-18,4169.0,16.0,320.0,2779.0,4185.0,1032.0,6796.0,,84.0
Game_D,Action,2024-01-19,2969.0,18.0,290.0,,8777.0,11886.0,3098.0,16.0,60.0
,Action,2024-01-20,2094.0,,,1258.0,2482.0,15078.0,9536.0,10.0,6.0
Game_B,Racing,2024-01-21,3411.0,58.0,,5075.0,5444.0,5373.0,,38.0,71.0
Game_A,Racing,2024-01-22,3617.0,54.0,72.0,9498.0,8392.0,15468.0,4030.0,1.0,
Game_B,Racing,2024-01-23,2825.0,25.0,158.0,9014.0,8691.0,14037.0,8090.0,1.0,114.0
Game_D,Racing,2024-01-24,1762.0,26.0,156.0,,8962.0,15461.0,,28.0,37.0
Game_D,Action,,3323.0,25.0,194.0,8631.0,843.0,3392.0,7065.0,44.0,20.0
Game_B,Racing,,1049.0,48.0,418.0,4017.0,3581.0,,8267.0,23.0,7.0
Game_B,Action,2024-01-27,,54.0,403.0,5341.0,7137.0,,,23.0,88.0
Game_B,Racing,2024-01-28,3775.0,34.0,446.0,,,1817.0,2476.0,,27.0
Game_D,Racing,2024-01-29,1905.0,43.0,447.0,,2032.0,7203.0,,30.0,91.0
Game_D,Racing,,3975.0,24.0,188.0,2797.0,4862.0,3438.0,5399.0,,53.0
Game_A,,2024-01-31,1563.0,28.0,333.0,1784.0,,18594.0,854.0,42.0,30.0
Game_A,Action,2024-02-01,1782.0,27.0,347.0,,5488.0,7641.0,10297.0,8.0,115.0
Game_D,Puzzle,,3532.0,11.0,148.0,4196.0,6844.0,17983.0,4973.0,26.0,
Game_B,Racing,2024-02-03,4155.0,,366.0,,8930.0,15026.0,3695.0,40.0,88.0
Game_B,Puzzle,,4970.0,5.0,172.0,1562.0,1938.0,19230.0,10819.0,13.0,115.0
Game_A,Puzzle,2024-02-05,4876.0,30.0,369.0,5746.0,3516.0,,14368.0,44.0,119.0
Game_D,,2024-02-06,4709.0,42.0,,3999.0,8666.0,18063.0,9679.0,24.0,40.0
Game_A,Action,2024-02-07,,42.0,130.0,,6889.0,2835.0,13020.0,,36.0
